,text,context,url,search_queries,relevant_sentences,contradiction,neutrality,entailment,relevance
49,The advice features a chart that makes it easy to choose dozens of healthy and safe options and includes information about the nutritional value of fish.,This advice can help those who might become or are pregnant or breastfeeding as well as parents and caregivers who are feeding children make informed choices when it comes to the types of fish that are nutritious and safe to eat. This advice supports the recommendations of the Dietary Guidelines for Americans. The advice features a chart that makes it easy to choose dozens of healthy and safe options and includes information about the nutritional value of fish. A set of frequently asked questions & answers provides more information on how to use the chart and additional tips for eating fish. ‡This advice refers to fish and shellfish collectively as “fish”.,https://www.fda.gov/food/consumers/advice-about-eating-fish,"{'diet AND healthiest AND dietary AND guideline AND fish AND information', 'diet AND fish AND food', 'diet AND fish', 'diet AND fish AND species AND shrimp'}","[0, 1, 3, 11, 22]","[0.0010998012, 0.0009218668, 0.07177142, 0.0023375326, 0.0013136816]","[0.9977957, 0.9867469, 0.84077954, 0.94238245, 0.99715436]","[0.0011044937, 0.012331183, 0.08744909, 0.05527995, 0.0015320467]",0.644619345664978
50,The advice features a chart that makes it easy to choose dozens of healthy and safe options and includes information about the nutritional value of fish.,"This advice is for those who might become pregnant, are pregnant, or are breastfeeding as well as parents and caregivers who are feeding children. It can help people make informed choices about the types of fish that are nutritious and safe to eat. The advice features a chart that makes it easy to choose dozens of healthy and safe options and includes information about the nutritional value of fish. A set of frequently asked questions and answers provides more information on how to use the chart and additional tips for eating fish. This advice supports the recommendations of the Dietary Guidelines for Americans, 2020-2025, which reflects current science on nutrition to improve public health.",https://www.epa.gov/fish-tech/epa-fda-advice-about-eating-fish-and-shellfish,{'diet AND healthiest AND dietary AND guideline AND fish AND information'},"[0, 1, 3, 11, 22]","[0.0010998012, 0.0009218668, 0.07177142, 0.0023375326, 0.0013136816]","[0.9977957, 0.9867469, 0.84077954, 0.94238245, 0.99715436]","[0.0011044937, 0.012331183, 0.08744909, 0.05527995, 0.0015320467]",0.644619345664978
51,"Strong evidence shows that eating fish, as part of a healthy eating pattern, may have heart health benefits.","Fish are a source of other nutrients like protein, vitamin B12, vitamin D, and selenium too. Fish intake during pregnancy is recommended because moderate scientific evidence shows it can help your baby’s cognitive development. Strong evidence shows that eating fish, as part of a healthy eating pattern, may have heart health benefits. A healthy eating pattern consists of choices across all food groups (vegetables, fruits, grains, dairy, and protein foods, which includes fish), eaten in recommended amounts, and within calorie needs. Healthy eating patterns include foods that provide vitamins, minerals, and other health-promoting components and have no or little added sugars, saturated fat, and sodium.",https://www.fda.gov/food/consumers/advice-about-eating-fish,"{'diet AND healthiest AND dietary AND guideline AND fish AND information', 'diet AND fish AND food', 'diet AND fish', 'diet AND fish AND species AND shrimp'}","[0, 1, 11, 16]","[0.0010394386, 0.0013658188, 0.0033331986, 0.0009056308]","[0.9977665, 0.9898461, 0.94443417, 0.9960406]","[0.0011941125, 0.008788044, 0.052232627, 0.0030538237]",0.6414854526519775
52,"Strong evidence shows that eating fish, as part of a healthy eating pattern, may have heart health benefits.","Eating fish can provide other health benefits too. Fish intake during pregnancy is recommended because moderate scientific evidence shows it can help your baby’s cognitive development. Strong evidence shows that eating fish, as part of a healthy eating pattern, may have heart health benefits. Healthy eating patterns that include fish may have other benefits too. Moderate scientific evidence shows that eating patterns relatively higher in fish but also in vegetables, fruits, legumes, whole grains, low- or non-fat dairy, lean meats and poultry, nuts, and unsaturated vegetable oils, and lower in red and processed meats, sugar-sweetened foods and beverages, and refined grains are associated with: As a guide, use the palm of your hand.",https://www.epa.gov/fish-tech/epa-fda-advice-about-eating-fish-and-shellfish,{'diet AND healthiest AND dietary AND guideline AND fish AND information'},"[0, 1, 11, 16]","[0.0010394386, 0.0013658188, 0.0033331986, 0.0009056308]","[0.9977665, 0.9898461, 0.94443417, 0.9960406]","[0.0011941125, 0.008788044, 0.052232627, 0.0030538237]",0.6414854526519775
53,Knowing what seafood is best for your health and the environment isn’t always easy.,"Fish are a lean, healthy source of protein–and the oily kinds, such as salmon, tuna, and sardines–deliver those heart- and brain-healthy omega-3 fats that you should also be getting in your diet. But then there’s the concern about choosing seafood that’s sustainable. Knowing what seafood is best for your health and the environment isn’t always easy. Fortunately, Seafood Watch, the program run by the Monterey Bay Aquarium, has combined data from leading health organizations and environmental groups to come up with “Super Green: Best of the Best,” their list of seafood that’s good for you and good for the environment. To make the list, last updated in January 2010, fish must: have low levels of contaminants–below 216 parts per billion [ppb] mercury and 11 ppb PCBs; be high in health-promoting omega-3 fats; and come from a sustainable fishery.",https://www.onemedical.com/blog/eat-well/healthy-fish-eating-guide/,{'diet AND healthiest AND fish'},"[0, 1, 3, 22]","[0.00058088783, 0.0024461604, 0.048990875, 0.0005439571]","[0.9961243, 0.94425833, 0.7738874, 0.9924616]","[0.003294793, 0.05329547, 0.17712171, 0.006994426]",0.6394657492637634
54,"Eating a diet consisting mainly of plant-based foods has a variety of health benefits, which the addition of fish and fish products may enhance.","In the pescatarian diet, a person eats a primarily vegetarian diet with the addition of fish and other seafood. Eating a diet consisting mainly of plant-based foods has a variety of health benefits, which the addition of fish and fish products may enhance. In this article, we look at the potential health benefits of a pescatarian diet and what people can eat on this kind of diet. The pescatarian diet has many health benefits.",https://www.medicalnewstoday.com/articles/323907,{'diet AND fish AND food'},"[0, 11]","[0.00095693825, 0.0043225177]","[0.99775994, 0.92958146]","[0.0012831463, 0.066095956]",0.6377607583999634
55,"Listed below are some suggestions for sources of fish that a person on a pescatarian diet can eat: Other foods to include are: Although it’s possible for a person following a vegetarian diet to consume all of the nutrients they need through the foods they eat, any diet that restricts a large number of foods could lead to suboptimal intake of one or more nutrients.","Flavonoids have a range of anti-inflammatory and antidiabetic properties. A 2016 study, again looking at different dietary patterns among more than 77,000 people in the U.S., found that people following a pescatarian diet had the highest flavonoid intake of all those taking part. Listed below are some suggestions for sources of fish that a person on a pescatarian diet can eat: Other foods to include are: Although it’s possible for a person following a vegetarian diet to consume all of the nutrients they need through the foods they eat, any diet that restricts a large number of foods could lead to suboptimal intake of one or more nutrients. For example, if a person avoids dairy products, they must be sure to consume other foods rich in calcium ike certain vegetables, nuts and seeds, and beans. Here, we give examples of recipes for meals that a person might consider when choosing a pescatarian diet: Breakfast Sardines on crostini Sardines are an excellent source of omega-3s.",https://www.medicalnewstoday.com/articles/323907,{'diet AND fish AND food'},"[8, 11]","[0.48848602, 0.0051218807]","[0.5043057, 0.40261397]","[0.007208227, 0.5922642]",0.6372974514961243
56,"When developing the “Advice About Eating Fish”, EPA and the Food and Drug Administration (FDA) concluded that the following types of people should eat more fish that is lower in mercury for important developmental and health benefits: The advice includes a chart showing how often to eat more than 60 types of fish and shellfish and supplemental questions and answers.","Nearly all fish and shellfish contain traces of mercury, no matter what body of water they come from. The risk from consuming mercury by eating fish and shellfish may include harm to an unborn baby or a young child's developing nervous system if the mercury levels are high enough. When developing the “Advice About Eating Fish”, EPA and the Food and Drug Administration (FDA) concluded that the following types of people should eat more fish that is lower in mercury for important developmental and health benefits: The advice includes a chart showing how often to eat more than 60 types of fish and shellfish and supplemental questions and answers. Certain disease-causing bacteria, viruses and other pathogens can contaminate seafood causing foodborne illness. The FDA leads the National Shellfish Sanitation Program (NSSP) and the Interstate Shellfish Sanitation Conference (ISSC) which were formed to promote and improve the sanitation of shellfish.",https://www.epa.gov/choose-fish-and-shellfish-wisely/fish-and-shellfish-advisories-and-safe-eating-guidelines,{'diet AND healthiest AND dietary AND guideline AND fish AND information'},"[0, 1, 11, 16, 22]","[0.0014624231, 0.0018212441, 0.004667003, 0.0019367881, 0.0017295039]","[0.99664235, 0.8838582, 0.7286569, 0.9799242, 0.9934515]","[0.0018952768, 0.11432058, 0.266676, 0.018139018, 0.0048190244]",0.6362590789794922
57,Like fish consumption advisories safe eating guidelines are issued for specific fish species from specific water bodies or types of water bodies by state and local agencies.,"Safe eating guidelines let the public know when there are no limits on eating specific fish species. These guidelines are developed based on data from fish that have been tested for chemical contamination and are found to be safe to eat. Like fish consumption advisories safe eating guidelines are issued for specific fish species from specific water bodies or types of water bodies by state and local agencies. Nearly all fish and shellfish contain traces of mercury, no matter what body of water they come from. The risk from consuming mercury by eating fish and shellfish may include harm to an unborn baby or a young child's developing nervous system if the mercury levels are high enough.",https://www.epa.gov/choose-fish-and-shellfish-wisely/fish-and-shellfish-advisories-and-safe-eating-guidelines,{'diet AND healthiest AND dietary AND guideline AND fish AND information'},"[0, 1, 22]","[0.00051402516, 0.00073918526, 0.0057963287]","[0.99481404, 0.98158216, 0.9801232]","[0.0046720356, 0.017678626, 0.014080506]",0.631252110004425
58,"This article examines these two types of fish, so you can decide which might be best for… A vegetarian diet emphasizes plant foods and includes some animal foods.","Last medically reviewed on  September 30, 2019 Our experts continually monitor the health and wellness space, and we update our articles when new information becomes available. Current Version Feb 1, 2023 Written By Nicole Bowling, CPT Edited By Frank Crooks Sep 30, 2019 Medically Reviewed By Natalie Olsen, RD, LD, ACSM EP-C Share this article Tuna and salmon are two of the most popular seafood choices. This article examines these two types of fish, so you can decide which might be best for… A vegetarian diet emphasizes plant foods and includes some animal foods. This article provides an overview of whether you can eat fish on a vegetarian… Those with nausea seem to tolerate certain foods and drinks better than others. Here are the best foods and drinks for when you’re feeling nauseous.",https://www.healthline.com/health/food-nutrition/11-best-fish-to-eat,{'diet AND healthiest AND fish'},"[0, 1, 7, 8, 11, 22]","[0.0012803228, 0.0018839677, 0.031220697, 0.78891706, 0.0016528724, 0.0021187405]","[0.99725914, 0.94178635, 0.75332063, 0.20544441, 0.9834974, 0.9945791]","[0.0014605251, 0.05632965, 0.21545869, 0.0056385226, 0.0148498, 0.0033022312]",0.6305910348892212
59,Safe eating guidelines let the public know when there are no limits on eating specific fish species.,"For current fish advisory information go to  State, Territorial and Tribal Fish Consumption Advisories. Because fish and shellfish are such an important part of a healthy diet, EPA encourages states to issue safe eating guidelines to let people know what species are safe to eat. Safe eating guidelines let the public know when there are no limits on eating specific fish species. These guidelines are developed based on data from fish that have been tested for chemical contamination and are found to be safe to eat. Like fish consumption advisories safe eating guidelines are issued for specific fish species from specific water bodies or types of water bodies by state and local agencies.",https://www.epa.gov/choose-fish-and-shellfish-wisely/fish-and-shellfish-advisories-and-safe-eating-guidelines,{'diet AND healthiest AND dietary AND guideline AND fish AND information'},"[0, 1, 16, 22]","[0.0015068657, 0.0016978178, 0.0013226361, 0.002812251]","[0.99048597, 0.9747717, 0.992811, 0.99263215]","[0.008007133, 0.023530535, 0.005866331, 0.0045556077]",0.6283558011054993
60,[9][10] Eating about 140 grams (4.9 oz) of oily fish rich in omega-3 fatty acids once per week is a recommended consumption amount.,"The latter, as a result of its high fat content, contain a range of fat-soluble vitamins (A, D, E and K) and essential fatty acids, all of which are vital for the healthy functioning of the body"". [8]  Eating oily fish containing long-chain omega-3 fatty acids may reduce systemic inflammation and lower the risk of cardiovascular disease. [9][10] Eating about 140 grams (4.9 oz) of oily fish rich in omega-3 fatty acids once per week is a recommended consumption amount. [9][10] Increasing intake of omega-3 fatty acids may slightly reduce the risk of a fatal heart attack,[10] but likely has little effect on the overall number of deaths from cardiovascular disease. [11]  Fish bone is the most common food-related foreign body to cause airway obstruction.",https://en.wikipedia.org/wiki/Fish_as_food,{'fish AND food'},"[1, 7, 16, 17]","[0.0013110514, 0.008558311, 0.0006476965, 0.012162865]","[0.9814253, 0.74279, 0.99179536, 0.9585278]","[0.01726364, 0.24865173, 0.0075570126, 0.029309334]",0.6281194090843201
61,"It’s loaded with important nutrients, such as protein and vitamin D. Fish is also a great source of omega-3 fatty acids, which are incredibly important for your body and brain.","Healthline only shows you brands and products that we stand behind. Fish is among the healthiest foods on the planet. It’s loaded with important nutrients, such as protein and vitamin D. Fish is also a great source of omega-3 fatty acids, which are incredibly important for your body and brain. Here are 11 health benefits of eating fish that are supported by research. Fish is packed with many nutrients that most people are lacking.",https://www.healthline.com/nutrition/11-health-benefits-of-fish,{'diet AND fish'},"[0, 1, 11, 16]","[0.0013704812, 0.0013250716, 0.0036413076, 0.00075609976]","[0.9975667, 0.9914892, 0.8357746, 0.99566036]","[0.0010629046, 0.0071858107, 0.16058399, 0.0035835293]",0.6254329681396484
62,"The healthiest types of fish include those high in omega-3 fatty acids and have lower levels of mercury contamination, like Alaskan salmon."," The healthiest types of fish include those high in omega-3 fatty acids and have lower levels of mercury contamination, like Alaskan salmon. Overview Fish is a healthy, high-protein food, especially important for its omega-3 fatty acids, which are essential fats that our bodies don’t produce on their own. Omega-3 fatty acids play an essential role in brain and heart health.",https://www.healthline.com/health/food-nutrition/11-best-fish-to-eat,{'diet AND healthiest AND fish'},"[0, 1, 11, 22]","[0.014674399, 0.0018216193, 0.003466986, 0.0014890411]","[0.97881454, 0.8852378, 0.84604967, 0.9946026]","[0.0065110517, 0.11294054, 0.15048334, 0.0039082402]",0.6232591867446899
63,Fish and other marine species depend on their habitat to survive and reproduce.,"Internet Explorer lacks support for the features of this website. For the best experience, please use a modern browser such as Chrome, Firefox, or Edge. Fish and other marine species depend on their habitat to survive and reproduce. NOAA Fisheries works to identify and protect essential fish habitat. Fish and other marine species depend on their habitat to survive and reproduce.",https://www.fisheries.noaa.gov/national/habitat-conservation/essential-fish-habitat,{'fish AND habitat'},"[1, 11, 16]","[0.0044849804, 0.27335602, 0.007376285]","[0.9857453, 0.6631122, 0.9862402]","[0.009769667, 0.06353172, 0.006383493]",0.6230156421661377
64,Fish and other marine species depend on their habitat to survive and reproduce.,Fish and other marine species depend on their habitat to survive and reproduce. NOAA Fisheries works to identify and protect essential fish habitat. Fish and other marine species depend on their habitat to survive and reproduce. Congress improved the nation's primary fisheries law in 1996 to recognize the importance of healthy habitat for commercial and recreational fisheries. Protecting and restoring Essential Fish Habitat has helped to maintain productive fisheries and rebuild depleted fish stocks in the United States.,https://www.fisheries.noaa.gov/national/habitat-conservation/essential-fish-habitat,{'fish AND habitat'},"[1, 11, 16]","[0.0044849804, 0.27335602, 0.007376285]","[0.9857453, 0.6631122, 0.9862402]","[0.009769667, 0.06353172, 0.006383493]",0.6230156421661377
65,Eating fish is an important source of omega-3 fatty acids.,"The American Heart Association recommends eating fish at least two times per week as part of a healthy diet. Fish is packed with protein, vitamins, and nutrients that can lower blood pressure and help reduce the risk of a heart attack or stroke. Eating fish is an important source of omega-3 fatty acids. These essential nutrients keep our heart and brain healthy. Two omega-3 fatty acids found in fish are EPA (eicosapentaenoic acid) and DHA (docosahexaenoic acid).",https://doh.wa.gov/community-and-environment/food/fish/health-benefits,"{'diet AND fish AND food', 'diet AND fish'}","[1, 8, 11, 16]","[0.0012112439, 0.55575395, 0.0032581, 0.00078834617]","[0.99187064, 0.44165394, 0.9224652, 0.994024]","[0.006918069, 0.0025921254, 0.07427676, 0.005187716]",0.6225590705871582
66,"Follow the advice for the species and length of fish you eat - to properly measure your fish, measure from the tip of the nose to the end of the tail.","Exceptions apply to some locations including the Great Lakes (see map below). Exceptions to the statewide safe-eating guidelines are necessary for some species of fish from 146 waters where fish have higher concentrations of mercury or other contaminants. Follow the advice for the species and length of fish you eat - to properly measure your fish, measure from the tip of the nose to the end of the tail. ",https://dnr.wisconsin.gov/topic/Fishing/consumption,{'diet AND healthiest AND dietary AND guideline AND fish AND information'},"[0, 3, 16, 19, 22]","[0.0024919854, 0.3883372, 0.0031996854, 0.15996182, 0.005148113]","[0.6438261, 0.45598894, 0.948258, 0.5755971, 0.9917846]","[0.3536818, 0.1556738, 0.04854233, 0.26444107, 0.0030673447]",0.6199119091033936
67,A set of frequently asked questions and answers provides more information on how to use the chart and additional tips for eating fish.,"It can help people make informed choices about the types of fish that are nutritious and safe to eat. The advice features a chart that makes it easy to choose dozens of healthy and safe options and includes information about the nutritional value of fish. A set of frequently asked questions and answers provides more information on how to use the chart and additional tips for eating fish. This advice supports the recommendations of the Dietary Guidelines for Americans, 2020-2025, which reflects current science on nutrition to improve public health. While it is important to limit mercury in the diets of those who are pregnant or breastfeeding and children because of its potential effect on developing brains, many types of fish are both nutritious and lower in mercury.",https://www.epa.gov/fish-tech/epa-fda-advice-about-eating-fish-and-shellfish,{'diet AND healthiest AND dietary AND guideline AND fish AND information'},"[0, 1, 3, 11, 16, 22]","[0.0008972161, 0.00074313494, 0.106095724, 0.0038253386, 0.0006819168, 0.0011177252]","[0.99761873, 0.98840976, 0.7909568, 0.9424532, 0.9942334, 0.99744153]","[0.0014840536, 0.010847133, 0.102947436, 0.05372149, 0.0050845286, 0.0014408011]",0.6191000938415527
68,A set of frequently asked questions & answers provides more information on how to use the chart and additional tips for eating fish.,This advice supports the recommendations of the Dietary Guidelines for Americans. The advice features a chart that makes it easy to choose dozens of healthy and safe options and includes information about the nutritional value of fish. A set of frequently asked questions & answers provides more information on how to use the chart and additional tips for eating fish. ‡This advice refers to fish and shellfish collectively as “fish”. Read the full advice below or download in PDF.,https://www.fda.gov/food/consumers/advice-about-eating-fish,"{'diet AND healthiest AND dietary AND guideline AND fish AND information', 'diet AND fish AND food', 'diet AND fish', 'diet AND fish AND species AND shrimp'}","[0, 1, 3, 11, 16, 22]","[0.0009092057, 0.000765755, 0.11042756, 0.0037568375, 0.000688777, 0.0011331908]","[0.9976006, 0.98762983, 0.7863395, 0.9435956, 0.99387664, 0.997431]","[0.0014902812, 0.011604457, 0.10323298, 0.05264759, 0.0054346607, 0.0014358856]",0.6187597513198853
69,"Attitudes and Beliefs About Eating Fish: A National Opinion Survey Conducted for The Center for Food, Nutrition and Agriculture Policy.","2002; 106:2747-57. 4. Attitudes and Beliefs About Eating Fish: A National Opinion Survey Conducted for The Center for Food, Nutrition and Agriculture Policy. 5. Seafood Choices: Balancing Risks and Benefits.",https://www.hsph.harvard.edu/nutritionsource/fish/,"{'diet AND healthiest AND fish', 'diet AND fish'}","[0, 1, 7, 11, 22]","[0.0017564608, 0.0018557981, 0.027614756, 0.01809107, 0.0013483389]","[0.99676216, 0.98846906, 0.7782068, 0.93575746, 0.9944759]","[0.0014814252, 0.009675124, 0.19417837, 0.04615141, 0.0041756565]",0.6185895204544067
70,"To meet your omega-3 requirements, eating fatty fish at least once or twice a week is recommended.","This includes vitamin D, a fat-soluble nutrient that many people are lacking. Fatty fish also boast omega-3 fatty acids, which are crucial for optimal body and brain function and strongly linked to a reduced risk of many diseases (1). To meet your omega-3 requirements, eating fatty fish at least once or twice a week is recommended. If you are a vegan, opt for omega-3 supplements made from microalgae. SUMMARY Fish is high in many important nutrients, including high-quality protein, iodine, and various vitamins and minerals.",https://www.healthline.com/nutrition/11-health-benefits-of-fish,{'diet AND fish'},"[1, 16, 17]","[0.0038766793, 0.00076166796, 0.012703469]","[0.9635601, 0.98934317, 0.9771703]","[0.0325632, 0.009895247, 0.010126282]",0.6180615425109863
71,"If you have any questions about what fish habitat option is right for you, contact us today or fill out our habitat questionnaire.","MossBack Fish Habitat has also been working together with state and federal agencies nationwide providing products aimed at attracting fish, creating sanctuary habitat for forage and fry, or providing ambush structure for trophy sport fish. If you are looking for a permanent fish habitat solution, put your trust in a time proven and reliable product that only MossBack Fish Habitat delivers. If you have any questions about what fish habitat option is right for you, contact us today or fill out our habitat questionnaire. ",https://mossbackfishhabitat.com/,{'fish AND habitat'},"[0, 1, 3, 22]","[0.00085641444, 0.0014107608, 0.021268927, 0.0027180647]","[0.98641217, 0.94816315, 0.94216305, 0.98861015]","[0.012731432, 0.05042611, 0.0365681, 0.008671903]",0.6155433058738708
72,"Essential fish habitat includes all types of aquatic habitat where fish spawn, breed, feed, or grow to maturity.","These areas provide the habitats that shelter and sustain marine fish. Depending on the fish species, EFH could include the deep sea, coral reefs, kelp forests, bays, wetlands, and rivers that connect to the ocean. Essential fish habitat includes all types of aquatic habitat where fish spawn, breed, feed, or grow to maturity. You can search for the habitat of a specific species using our EFH Mapper tool. Essential fish habitat does not apply to enclosed freshwater habitat, such as the Great Lakes.",https://www.fisheries.noaa.gov/insight/understanding-essential-fish-habitat,{'fish AND habitat'},"[0, 1, 3, 11, 16, 22]","[0.0012575509, 0.0008890713, 0.010592961, 0.002035915, 0.00140819, 0.0041364077]","[0.78835064, 0.97506785, 0.78608537, 0.9606821, 0.8944657, 0.99113584]","[0.21039183, 0.024043035, 0.20332167, 0.037282046, 0.1041261, 0.0047278013]",0.6148198246955872
73,Fish is packed with many nutrients that most people are lacking.,"It’s loaded with important nutrients, such as protein and vitamin D. Fish is also a great source of omega-3 fatty acids, which are incredibly important for your body and brain. Here are 11 health benefits of eating fish that are supported by research. Fish is packed with many nutrients that most people are lacking. This includes high-quality protein, iodine, and various vitamins and minerals. Fatty species are sometimes considered the healthiest.",https://www.healthline.com/nutrition/11-health-benefits-of-fish,{'diet AND fish'},"[1, 11, 16]","[0.0024892585, 0.011478446, 0.0015002375]","[0.97913694, 0.7960729, 0.9916585]","[0.018373806, 0.19244862, 0.0068412586]",0.6138186454772949
74,"Unsurprisingly, many large observational studies show that people who eat fish regularly have a lower risk of heart attacks, strokes, and death from heart disease (3, 4, 5, 6).","Fatty varieties also pack omega-3 fatty acids and vitamin D. Heart attacks and strokes are the two most common causes of premature death in the world (2). Fish is considered one of the most heart-healthy foods you can eat. Unsurprisingly, many large observational studies show that people who eat fish regularly have a lower risk of heart attacks, strokes, and death from heart disease (3, 4, 5, 6). In one study in more than 40,000 men in the United States, those who regularly ate one or more servings of fish per week had a 15% lower risk of heart disease (7). Researchers believe that fatty types of fish are even more beneficial for heart health due to their high omega-3 fatty acid content.",https://www.healthline.com/nutrition/11-health-benefits-of-fish,{'diet AND fish'},"[0, 1, 11, 16]","[0.0015652855, 0.00202555, 0.004663227, 0.0016528874]","[0.9975165, 0.99364954, 0.9330182, 0.9951271]","[0.00091822585, 0.004324896, 0.06231858, 0.0032200494]",0.6134310960769653
75,Learn which nutrients in fish support child development Eating fish can provide other health benefits too.,"This chart can help you choose which fish to eat, and how often to eat them, based on their mercury levels. Enlarge in PDF | En español  Supporting Materials | Translations | Education Resources for Consumers and Educators Fish provide key nutrients that support a child’s brain development. Learn which nutrients in fish support child development Eating fish can provide other health benefits too. Learn more about health benefits                                                                                    The Dietary Guidelines for Americans recommends eating fish as part of a healthy eating pattern. Learn more about Dietary Guidelines and fish Choose a variety of fish that are lower in mercury.",https://www.fda.gov/food/consumers/advice-about-eating-fish,"{'diet AND healthiest AND dietary AND guideline AND fish AND information', 'diet AND fish AND food', 'diet AND fish', 'diet AND fish AND species AND shrimp'}","[0, 1, 11, 16]","[0.0011098594, 0.0009912915, 0.0024323147, 0.0010409185]","[0.99774444, 0.9911409, 0.95822954, 0.9968637]","[0.001145762, 0.007867879, 0.03933816, 0.0020953796]",0.6133036613464355
76,FDA and EPA have issued advice regarding eating fish and shellfish (referred to as fish from here on).,"JavaScript appears to be disabled on this computer. Please click here to see any active alerts. FDA and EPA have issued advice regarding eating fish and shellfish (referred to as fish from here on). This advice is for those who might become pregnant, are pregnant, or are breastfeeding as well as parents and caregivers who are feeding children. It can help people make informed choices about the types of fish that are nutritious and safe to eat.",https://www.epa.gov/fish-tech/epa-fda-advice-about-eating-fish-and-shellfish,{'diet AND healthiest AND dietary AND guideline AND fish AND information'},"[1, 22]","[0.0007343214, 0.0008989964]","[0.9953185, 0.9976736]","[0.0039471337, 0.0014273673]",0.6116079092025757
77,Researchers believe that fatty types of fish are even more beneficial for heart health due to their high omega-3 fatty acid content.,"Unsurprisingly, many large observational studies show that people who eat fish regularly have a lower risk of heart attacks, strokes, and death from heart disease (3, 4, 5, 6). In one study in more than 40,000 men in the United States, those who regularly ate one or more servings of fish per week had a 15% lower risk of heart disease (7). Researchers believe that fatty types of fish are even more beneficial for heart health due to their high omega-3 fatty acid content. SUMMARY Eating at least one serving of fish per week has been linked to a reduced risk of heart attacks and strokes. Omega-3 fatty acids are essential for growth and development.",https://www.healthline.com/nutrition/11-health-benefits-of-fish,{'diet AND fish'},"[0, 1, 11, 16]","[0.0013485993, 0.0020870753, 0.0083747255, 0.002267984]","[0.997544, 0.9799887, 0.90962726, 0.99351466]","[0.0011073119, 0.017924238, 0.08199801, 0.0042174263]",0.6115789413452148
78,"As a group, bony fishes have a diverse range of food preferences."," As a group, bony fishes have a diverse range of food preferences. Some are herbivores (plant-eaters); some are carnivores (meat-eaters); some are omnivores (plant- and meat-eaters); and some are detritivores (animals that eat decomposing plants and animals). As a group, bony fishes can eat all sizes of plants and animals, from microscopic plant plankton to some of the largest marine animals.",https://seaworld.org/animals/all-about/bony-fish/diet/,{'diet AND fish AND food'},"[1, 7, 11]","[0.00052726764, 0.0020011477, 0.0011125134]","[0.9875165, 0.79574925, 0.98970467]","[0.011956245, 0.20224956, 0.009182793]",0.6115319728851318
79,"Yet, there are some risks associated with eating fish on a regular basis.","They’re important for prenatal development in babies, too. The American Heart Association (AHA) recommends eating fish at least 2 times a week, particularly fatty fish like salmon, lake trout, sardines, and albacore tuna, which are high in omega-3s. Yet, there are some risks associated with eating fish on a regular basis. Contaminants such as mercury and polychlorinated biphenyls (PCBs) find their way into ground, lake, and ocean water from our household and industrial waste, and then into the fish who live there. The Environmental Protection Agency (EPA) and FDA have issued combined guidelines for women of childbearing age, pregnant and breastfeeding women, and children.",https://www.healthline.com/health/food-nutrition/11-best-fish-to-eat,{'diet AND healthiest AND fish'},"[1, 16]","[0.015942227, 0.014099672]","[0.9755005, 0.968757]","[0.008557202, 0.017143393]",0.6110473871231079
80,"Fish is packed with protein, vitamins, and nutrients that can lower blood pressure and help reduce the risk of a heart attack or stroke.","Fish is rich in calcium and phosphorus and a great source of minerals, such as iron, zinc, iodine, magnesium, and potassium. The American Heart Association recommends eating fish at least two times per week as part of a healthy diet. Fish is packed with protein, vitamins, and nutrients that can lower blood pressure and help reduce the risk of a heart attack or stroke. Eating fish is an important source of omega-3 fatty acids. These essential nutrients keep our heart and brain healthy.",https://doh.wa.gov/community-and-environment/food/fish/health-benefits,"{'diet AND fish AND food', 'diet AND fish'}","[1, 11, 16]","[0.0010676513, 0.0034624562, 0.00059424544]","[0.9907397, 0.8498671, 0.995407]","[0.008192664, 0.14667045, 0.003998832]",0.6095932722091675
81,"Essential fish habitat includes coral reefs, kelp forests, bays, wetlands, rivers, and even areas of the deep ocean that are necessary for fish reproduction, growth, feeding, and shelter.","Internet Explorer lacks support for the features of this website. For the best experience, please use a modern browser such as Chrome, Firefox, or Edge. Essential fish habitat includes coral reefs, kelp forests, bays, wetlands, rivers, and even areas of the deep ocean that are necessary for fish reproduction, growth, feeding, and shelter. Marine fish could not survive without these vital, healthy habitats. Essential fish habitat includes coral reefs, kelp forests, bays, wetlands, rivers, and even areas of the deep ocean that are necessary for fish reproduction, growth, feeding, and shelter.",https://www.fisheries.noaa.gov/insight/understanding-essential-fish-habitat,{'fish AND habitat'},"[0, 1, 3, 11, 16, 22]","[0.0014833652, 0.001247512, 0.0038926292, 0.0050171535, 0.0018731568, 0.002204992]","[0.7635838, 0.939254, 0.95514566, 0.8802029, 0.91818845, 0.9956115]","[0.23493287, 0.059498444, 0.040961746, 0.11477993, 0.079938486, 0.0021836148]",0.6083005666732788
